#Distance
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SBdisk	SBbul
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.12	0.00	0.00	-1.80	0.95	0.00	0.00	0.00
0.23	5.65	4.93	-3.26	1.83	0.00	0.00	0.00
0.35	10.72	5.45	-4.38	2.48	0.00	0.00	0.00
0.46	10.44	5.30	-4.92	2.82	0.00	0.00	0.00
0.58	15.10	4.69	-5.72	3.29	0.00	0.00	0.00
0.69	17.43	3.94	-5.89	3.85	0.00	0.00	0.00
0.81	18.58	3.43	-4.80	4.47	0.00	0.00	0.00
0.92	18.51	3.33	-2.74	5.06	0.00	0.00	0.00
1.04	21.55	3.86	3.43	5.74	0.00	0.00	0.00
1.15	22.71	3.67	4.43	6.40	0.00	0.00	0.00
1.27	23.56	4.19	-4.71	6.92	0.00	0.00	0.00
1.38	25.95	4.06	-6.63	7.44	0.00	0.00	0.00
1.50	29.67	3.33	-4.61	7.92	0.00	0.00	0.00
1.62	30.98	3.47	-4.71	8.30	0.00	0.00	0.00
1.73	31.48	3.79	-6.33	8.56	0.00	0.00	0.00
1.85	31.03	3.38	-8.51	8.72	0.00	0.00	0.00
1.96	30.83	3.49	-7.78	8.85	0.00	0.00	0.00
2.08	32.09	3.44	5.19	9.06	0.00	0.00	0.00
2.19	31.83	4.04	12.49	9.11	0.00	0.00	0.00
2.31	31.58	3.89	12.80	9.24	0.00	0.00	0.00
2.42	30.85	4.00	13.19	9.19	0.00	0.00	0.00
2.54	29.84	4.13	12.72	9.19	0.00	0.00	0.00
2.65	29.40	4.29	13.88	9.09	0.00	0.00	0.00
2.77	30.97	4.07	15.07	9.10	0.00	0.00	0.00
2.88	31.34	4.04	13.72	9.15	0.00	0.00	0.00
3.00	31.66	3.93	12.59	9.25	0.00	0.00	0.00
3.12	30.85	3.85	13.28	9.25	0.00	0.00	0.00
3.23	31.15	3.74	15.86	9.21	0.00	0.00	0.00
3.35	31.24	3.64	17.83	9.19	0.00	0.00	0.00
3.46	29.68	3.59	20.96	9.12	0.00	0.00	0.00
3.58	28.57	3.44	23.27	9.03	0.00	0.00	0.00
3.69	28.79	3.75	24.17	8.88	0.00	0.00	0.00
3.81	30.10	3.69	23.66	8.77	0.00	0.00	0.00
3.92	31.44	3.90	24.24	8.63	0.00	0.00	0.00
4.04	32.45	4.00	24.28	8.63	0.00	0.00	0.00
4.15	33.08	3.89	24.67	8.49	0.00	0.00	0.00
4.27	34.50	3.89	25.16	8.40	0.00	0.00	0.00
4.38	34.05	3.96	25.09	8.32	0.00	0.00	0.00
4.50	34.55	3.89	25.41	8.27	0.00	0.00	0.00
4.62	34.48	3.65	26.64	8.10	0.00	0.00	0.00
4.73	35.12	3.83	26.99	7.99	0.00	0.00	0.00
4.85	35.28	3.91	26.80	7.89	0.00	0.00	0.00
4.96	34.90	3.97	27.45	7.84	0.00	0.00	0.00
5.08	34.46	4.01	27.80	7.79	0.00	0.00	0.00
5.19	33.89	3.66	27.60	7.80	0.00	0.00	0.00
5.31	33.34	3.89	27.89	7.86	0.00	0.00	0.00
5.42	33.06	3.71	28.45	7.93	0.00	0.00	0.00
5.54	32.52	3.62	28.54	7.97	0.00	0.00	0.00
5.65	31.28	3.71	29.18	7.94	0.00	0.00	0.00
5.77	31.45	4.01	29.22	7.98	0.00	0.00	0.00
5.88	31.81	3.96	29.92	8.04	0.00	0.00	0.00
6.00	31.82	3.68	30.67	8.14	0.00	0.00	0.00
6.12	32.23	3.73	31.08	8.15	0.00	0.00	0.00
6.23	32.79	3.84	31.47	8.12	0.00	0.00	0.00
6.35	30.66	4.10	31.64	8.04	0.00	0.00	0.00
6.46	30.23	3.92	32.17	8.07	0.00	0.00	0.00
6.58	31.76	3.91	32.43	8.14	0.00	0.00	0.00
6.69	31.44	3.99	32.67	8.22	0.00	0.00	0.00
6.81	30.60	4.18	32.67	8.28	0.00	0.00	0.00
6.92	32.14	4.21	32.28	8.28	0.00	0.00	0.00
